country,order_price,cost,date,category,sales_manager,sales_rep,device_type,order_id,profit,month,year
Sweden,98320.37,77722.25,2020-08-23,Games,Maxie Marrow,Tarrah Castelletti,Tablet,70-0511466,20598.119999999995,8,2020
France,46296.26,40319.41,2020-05-15,Games,Othello Bowes,Amelina Piscopiello,Tablet,77-3489084,5976.8499999999985,5,2020
Portugal,140337.34,115708.14,2020-04-09,Appliances,Celine Tumasian,Corene Shirer,PC,65-8218141,24629.199999999997,4,2020
France,203604.46,175344.16,2019-06-26,Electronics,Othello Bowes,Crysta Halls,Mobile,29-5478106,28260.29999999999,6,2019
UK,63979.04,56032.84,2019-10-22,Games,Jessamine Apark,Genevra Charrisson,PC,27-3437546,7946.200000000004,10,2019
Italy,127075.41,110924.13,2019-09-24,Clothing,Piggy Roscrigg,Joshua Prevost,PC,57-6602854,16151.279999999999,9,2019
Sweden,69681.43,55529.13,2020-01-25,Clothing,Maxie Marrow,Alyosha Meah,PC,78-3301264,14152.299999999996,1,2020
France,96795.99,81395.75,2019-06-21,Appliances,Othello Bowes,Avrit Chanders,PC,32-3124563,15400.240000000005,6,2019
Portugal,144725.34,115056.65,2019-01-15,Smartphones,Celine Tumasian,Aurelie Wren,PC,92-7042708,29668.690000000002,1,2019
Germany,32695.37,26375.35,2020-11-28,Accessories,Rickard Doogood,Casie MacBain,Mobile,15-2994585,6320.02,11,2020
Portugal,121318.55,102890.26,2020-10-03,Electronics,Celine Tumasian,Aurelie Wren,Tablet,48-0713329,18428.290000000008,10,2020
Portugal,147092.62,117806.48,2020-10-31,Clothing,Celine Tumasian,Hortense Gerring,PC,16-0987104,29286.14,10,2020
Portugal,187874.45,160031.46,2019-06-26,Accessories,Celine Tumasian,Hortense Gerring,PC,91-8142232,27842.99000000002,6,2019
Luxembourg,256603.66,209799.15,2019-07-27,Smartphones,Ilsa Kob,Jocelyn Laurentino,Tablet,85-9787047,46804.51000000001,7,2019
Sweden,69626.39,57295.56,2019-06-15,Electronics,Maxie Marrow,Madelon Bront,PC,06-2196763,12330.830000000002,6,2019
Portugal,153029.72,125117.1,2020-01-28,Games,Celine Tumasian,Corene Shirer,PC,51-9029547,27912.619999999995,1,2020
France,65193.88,53113.45,2019-04-10,Beauty,Othello Bowes,Maighdiln Upcraft,PC,74-1131921,12080.43,4,2019
Sweden,15817.05,13743.44,2019-10-03,Clothing,Maxie Marrow,Anita Woakes,PC,26-9787272,2073.6099999999988,10,2019
France,54079.04,45031.62,2020-05-29,Games,Othello Bowes,Avrit Chanders,PC,15-6838362,9047.419999999998,5,2020
Portugal,168757.23,136895.86,2020-08-24,Appliances,Celine Tumasian,Aurelie Wren,PC,31-6585710,31861.370000000024,8,2020
Portugal,101923.36,86115.05,2019-01-19,Beauty,Celine Tumasian,Brynn Dempster,Mobile,38-0584273,15808.309999999998,1,2019
France,89160.66,75367.51,2019-11-18,Beauty,Othello Bowes,Crysta Halls,PC,27-4115444,13793.150000000009,11,2019
UK,77128.75,65536.3,2020-09-08,Books,Jessamine Apark,Jay Morefield,Mobile,70-8991739,11592.449999999997,9,2020
Sweden,83897.88,69559.73,2019-03-18,Appliances,Maxie Marrow,Anita Woakes,Mobile,48-6452102,14338.150000000009,3,2019
Portugal,121928.48,98408.48,2019-09-19,Clothing,Celine Tumasian,Brynn Dempster,Mobile,58-2028009,23520.0,9,2019
Sweden,149376.26,123653.67,2020-01-31,Other,Maxie Marrow,Alyosha Meah,PC,52-0695511,25722.59000000001,1,2020
Portugal,138127.81,115240.03,2020-05-24,Appliances,Celine Tumasian,Corene Shirer,PC,30-3460885,22887.78,5,2020
Portugal,206869.73,180928.27,2020-07-20,Electronics,Celine Tumasian,Corene Shirer,PC,11-2653878,25941.46000000002,7,2020
UK,122627.2,100284.52,2019-12-05,Clothing,Jessamine Apark,Winny Agnolo,PC,65-0792739,22342.679999999993,12,2019
Portugal,92698.45,73454.25,2020-01-13,Clothing,Celine Tumasian,Corene Shirer,PC,62-4331197,19244.199999999997,1,2020
France,173456.4,149866.33,2019-09-25,Books,Othello Bowes,Avrit Chanders,Mobile,00-1398218,23590.070000000007,9,2019
Sweden,94085.5,77498.23,2020-01-19,Electronics,Maxie Marrow,Caro Morfield,PC,34-1570975,16587.270000000004,1,2020
